id,title,thumbnail,url
LRUiQ2KnOII,#05 Como ATUALIZAR um Item do Array no React por Índice (Técnica Imutável),https://i.ytimg.com/vi/LRUiQ2KnOII/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDhy0rx57u5qfQtfkG5xMV1qqxw1g,https://www.youtube.com/watch?v=LRUiQ2KnOII
F9zK6BmmY2M,#04 Adicionar (unshift) e Remover (shift) Elementos no INÍCIO do Array (React JS),https://i.ytimg.com/vi/F9zK6BmmY2M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCAHm67tWgwgSGIgmoryzOW3uIH8A,https://www.youtube.com/watch?v=F9zK6BmmY2M
StwDOy_i22A,#03 ADICIONAR e REMOVER no FIM do Array no React com Push e Pop (SEO Array),https://i.ytimg.com/vi/StwDOy_i22A/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD6e0oltHb11bB6kBcgaAoznxbwpw,https://www.youtube.com/watch?v=StwDOy_i22A
YDR4SFRtBaY,#02 Erro Comum: Por que NUNCA MUDAR o Array do Estado Diretamente no React?,https://i.ytimg.com/vi/YDR4SFRtBaY/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDlwbEqDOjUgQA176-AgwMOA6gIzQ,https://www.youtube.com/watch?v=YDR4SFRtBaY
fACIziGTGDQ,#01 Manipulação de Arrays no React: Conceitos Iniciais e Imutabilidade (Guia ZERO),https://i.ytimg.com/vi/fACIziGTGDQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBXd6E874Qjp1ZAR2iM_yA5rk_ndg,https://www.youtube.com/watch?v=fACIziGTGDQ
61GFXpGJZ_w,#07 Filter no React na Prática — Filtrando Dados no JSX com Componentes Separados,https://i.ytimg.com/vi/61GFXpGJZ_w/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAynbqSA896HMRDIHXdN0bgAbIgaA,https://www.youtube.com/watch?v=61GFXpGJZ_w
N8UfYtn8M5g,#06 REACT JS: Como Usar o ForEach para Iteração de Arrays (Guia Prático),https://i.ytimg.com/vi/N8UfYtn8M5g/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA8_-Hl4BpLdER0VFsqVt8gQOvh5A,https://www.youtube.com/watch?v=N8UfYtn8M5g
cz6ziLvbk6s,"Domine JavaScript de Uma Vez: Arrow Functions, Callbacks e Async/Await na Prática!",https://i.ytimg.com/vi/cz6ziLvbk6s/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDOpFDcflXwf4abioGsPeu5IxrqsQ,https://www.youtube.com/watch?v=cz6ziLvbk6s
VaJAIKhba1E,#05 React + JavaScript: Iterando Vetores com For e Exibindo Dados no JSX,https://i.ytimg.com/vi/VaJAIKhba1E/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDz1b_fC3T_X-Dnm8XzOK2wJnNvbg,https://www.youtube.com/watch?v=VaJAIKhba1E
_zAQui8BUmY,#04 Como Acessar Dados do Array no React e Mostrar na Tela (Do Zero à Prática),https://i.ytimg.com/vi/_zAQui8BUmY/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCmJUjBF9Ph8tLv0e9mnsd3qlylTA,https://www.youtube.com/watch?v=_zAQui8BUmY
